Header,Content,acronym,Related_To,Synonym,Is_Synonym,regex_keys
decision tree,"A supervised learning model composed of a set ofconditionsandleavesorganized hierarchically.
For example, the following is a decision tree:",,"['condition', 'model']",,false,"(decision(\s|-)?tree|\s(\s|\.|\,))"
pre-trained model,"Models or model components (such as an embedding vector) that have been already been trained.
Sometimes, you'll feed pre-trained embedding vectors into aneural network. Other times, your model will train the
embedding vectors themselves rather than rely on the pre-trained embeddings. The termpre-trained language modelrefers to alarge language modelthat has gone throughpre-training.",,"['embedding vector', 'language model', 'large language model', 'model', 'neural network', 'pre-training', 'training', 'vector']",,false,"(pre(\s|-)?trained(\s|-)?model|\s(\s|\.|\,))"
probabilistic regression model,"A regression modelthat uses not only theweightsfor eachfeature, but also the
uncertainty of those weights. A probabilistic regression model generates
a prediction and the uncertainty of that prediction. For example, a
probabilistic regression model might yield a prediction of 325 with a
standard deviation of 12. For more information about probabilistic regression
models, see thisColab on
tensorflow.org. ",,"['feature', 'model', 'prediction', 'regression model', 'Tensor', 'TensorFlow', 'weight']",,false,"(probabilistic(\s|-)?regression(\s|-)?model|\s(\s|\.|\,))"
precision-recall curve,A curve of precision versus recall at different classification thresholds.,,"['class', 'classification threshold', 'precision', 'recall']",,false,"(precision(\s|-)?recall(\s|-)?curve|\s(\s|\.|\,))"
bucketing,"Converting a singlefeatureinto multiple binary features
calledbucketsorbins,
typically based on a value range. The chopped feature is typically acontinuous feature. For example, instead of representing temperature as a single
continuous floating-point feature, you could chop ranges of temperatures
into discrete buckets, such as: The model will treat every value in the same bucket identically. For
example, the values13and22are both in the temperate bucket, so the
model treats the two values identically. If you represent temperature as a continuous feature, then the model
treats temperature as a single feature. If you represent temperature
as three buckets, then the model treats each bucket as a separate feature.
That is, a model can learn separate relationships of each bucket to thelabel. For example, alinear regressionmodel can learn
separateweightsfor each bucket. Increasing the number of buckets makes your model more complicated by
increasing the number of relationships that your model must learn.
For example, the cold, temperate, and warm buckets are essentially
three separate features for your model to train on. If you decide to add
two more buckets--for example, freezing and hot--your model would
now have to train on five separate features. How do you know how many buckets to create, or what the ranges for each
bucket should be? The answers typically require a fair amount of
experimentation. ",,"['continuous feature', 'feature', 'label', 'linear', 'linear regression', 'model', 'temperature', 'weight']",,false,"(bucket|\sbinning(\s|\.|\,))"
candidate generation,"The initial set of recommendations chosen by arecommendation system. For example, consider a
bookstore that offers 100,000 titles. The candidate generation phase creates
a much smaller list of suitable books for a particular user, say 500. But even
500 books is way too many to recommend to a user. Subsequent, more expensive,
phases of a recommendation system (such asscoringandre-ranking) reduce those 500 to a much smaller,
more useful set of recommendations. ",,"['ranking', 'recommendation system', 're-ranking', 'scoring']",,false,"(candidate(\s|-)?generat|\s(\s|\.|\,))"
TPU slice,"A TPU slice is a fractional portion of theTPU devicesin
aTPU Pod. All of the devices in a TPU slice are connected
to one another over a dedicated high-speed network.",,"['action', 'device', 'TPU device', 'TPU Pod', 'Tensor Processing Unit']",,false,"(TPU(\s|-)?slice|\s(\s|\.|\,))"
TPU worker,"A process that runs on a host machine and executes machine learning programs
onTPU devices.",,"['device', 'host', 'machine learning', 'TPU device', 'Tensor Processing Unit']",,false,"(TPU(\s|-)?worker|\s(\s|\.|\,))"
proxy labels,"Data used to approximate labels not directly available in a dataset. For example, suppose you must train a model to predict employee stress level. Your dataset contains a lot of predictive features but
doesn't contain a label namedstress level.Undaunted, you pick ""workplace accidents"" as a proxy label for
stress level. After all, employees under high stress get into more
accidents than calm employees. Or do they? Maybe workplace accidents
actually rise and fall for multiple reasons. As a second example, suppose you wantis it raining?to be a Boolean label
for your dataset, but your dataset doesn't contain rain data. If
photographs are available, you might establish pictures of people
carrying umbrellas as a proxy label foris it raining?Is that
a good proxy label? Possibly, but people in some cultures may be
more likely to carry umbrellas to protect against sun than the rain. Proxy labels are often imperfect. When possible, choose actual labels over
proxy labels. That said, when an actual label is absent, pick the proxy
label very carefully, choosing the least horrible proxy label candidate. #fairnessAn attribute used as a stand-in for asensitive attribute. For example, an
individual's postal code might be used as a proxy for their income,
race, or ethnicity.",,"['attribute', 'feature', 'graph', 'label', 'model', 'sensitive attribute']",,false,"(proxy(\s|-)?label|\s(\s|\.|\,))"
TensorFlow Serving,A platform to deploy trained models in production.,,"['model']",,false,"(TensorFlow(\s|-)?Serv|\s(\s|\.|\,))"
Tensor Processing Unit,"An application-specific integrated circuit (ASIC) that optimizes the
performance of machine learning workloads. These ASICs are deployed as
multipleTPU chipson aTPU device.",TPU,"['device', 'machine learning', 'performance', 'TPU chip', 'TPU device']",,false,"(Tensor(\s|-)?Processing(\s|-)?Unit|\sTPU(\s|\.|\,)|\s(\s|\.|\,))"
lambda,"Synonym forregularization rate. Lambda is an overloaded term. Here we're focusing on the term's
definition withinregularization.",,"['regularization', 'regularization rate']",regularization rate,true,"(lambda|\sregularization rate(\s|\.|\,))"
re-ranking,The final stage of a recommendation system (or RAG pipeline) during which scored items (or retrieved documents) may be re-graded according to some other rule or algorithm. ,,"['action', 'items', 'ranking', 'recommendation system', 'scoring']",,false,"(re(\s|-)?rank|\s(\s|\.|\,))"
convolutional filter,"One of the two actors in aconvolutional operation. (The other actor
is a slice of an input matrix.) A convolutional filter is a matrix having
the samerankas the input matrix, but a smaller shape.
For example, given a 28x28 input matrix, the filter could be any 2D matrix
smaller than 28x28. In photographic manipulation, all the cells in a convolutional filter are
typically set to a constant pattern of ones and zeroes. In machine learning,
convolutional filters are typically seeded with random numbers and then the
networktrainsthe ideal values.",,"['convolution', 'convolutional operation', 'graph', 'machine learning']",,false,"(convolutional(\s|-)?filter|\s(\s|\.|\,))"
iteration,"A single update of a model's parameters—the model's weights and biases—duringtraining. The batch size determines
how many examples the model processes in a single iteration. For instance,
if the batch size is 20, then the model processes 20 examples before adjusting the parameters.",,"['batch', 'batch size', 'instance', 'model', 'neural network', 'parameter', 'training', 'weight']",,false,"(iterat|\s(\s|\.|\,))"
prompt-based learning,"A capability of certain models that enables them to adapt
their behavior in response to arbitrary text input (prompts).
In a typical prompt-based learning paradigm, a large language model responds to a prompt by
generating text. For example, suppose a user enters the following prompt: Summarize Newton's Third Law of Motion. A model capable of prompt-based learning isn't specifically trained to answer
the previous prompt. Rather, the model ""knows"" a lot of facts about physics,
a lot about general language rules, and a lot about what constitutes generally
useful answers. That knowledge is sufficient to provide a (hopefully) useful
answer. Additional human feedback (""That answer was too complicated."" or
""What's a reaction?"") enables some prompt-based learning systems to gradually
improve the usefulness of their answers.",,"['action', 'language model', 'large language model', 'model', 'prompt', 'intersection over union']",,false,"(prompt(\s|-)?based(\s|-)?learn|\s(\s|\.|\,))"
data set or dataset,"A collection of raw data, commonly (but not exclusively) organized in one
of the following formats:",,[],,false,"(data(\s|-)?set(\s|-)?or(\s|-)?dataset|\s(\s|\.|\,))"
keypoints,"The coordinates of particular features in an image. For example, for animage recognitionmodel that distinguishes
flower species, keypoints might be the center of each petal, the stem,
the stamen, and so on. ",,"['feature', 'image recognition', 'model']",,false,"(keypoint|\slandmarks(\s|\.|\,))"
random forest,"Anensembleofdecision treesin
which each decision tree is trained with a specific random noise,
such asbagging. Random forests are a type ofdecision forest.",,"['bagging', 'decision forest', 'decision tree', 'ensemble', 'noise']",,false,"(random(\s|-)?forest|\s(\s|\.|\,))"
rank (Tensor),"The number of dimensions in aTensor. For instance,
a scalar has rank 0, a vector has rank 1, and a matrix has rank 2. Not to be confused withrank (ordinality).",,"['dimensions', 'instance', 'rank (ordinality)', 'scalar', 'Tensor', 'vector']",,false,"(rank(\s|-)?|\s(\s|\.|\,))"
Tensor shape,"The number of elements aTensorcontains in various dimensions.
For example, a[5, 10]Tensor has a shape of 5 in one dimension and 10
in another.",,"['dimensions', 'Tensor', 'intersection over union']",,false,"(Tensor(\s|-)?shape|\s(\s|\.|\,))"
coverage bias,See selection bias.,,"['selection bias']",,false,"(coverage(\s|-)?bia|\s(\s|\.|\,))"
chain-of-thought prompting,"A prompt engineering technique that encourages a large language model (LLM) to explain its reasoning, step by step. For example, consider the following prompt, paying
particular attention to the second sentence: How many g forces would a driver experience in a car that goes from 0 to 60
miles per hour in 7 seconds? In the answer, show all relevant calculations. The LLM's response would likely: Chain-of-thought prompting forces the LLM to perform all the calculations,
which might lead to a more correct answer. In addition, chain-of-thought
prompting enables the user to examine the LLM's steps to determine whether
or not the answer makes sense.",,"['attention', 'language model', 'large language model', 'model', 'prompt', 'prompt engineering', 'step', 'large language model', 'retrieval-augmented generation']",,false,"(chain(\s|-)?of(\s|-)?thought(\s|-)?prompt|\s(\s|\.|\,))"
centroid-based clustering,"A category ofclusteringalgorithms that organizes data
into nonhierarchical clusters.k-meansis the most widely
used centroid-based clustering algorithm. Contrast withhierarchical clusteringalgorithms.",,"['centroid', 'clustering', 'hierarchical clustering', 'k-means']",,false,"(centroid(\s|-)?based(\s|-)?cluster|\s(\s|\.|\,))"
retrieval augmented generation (RAG),"A technique for improving the quality oflarge language model (LLM)output
by grounding it with sources of knowledge retrieved after the model was trained.
RAG improves the accuracy of LLM responses by providing the trained LLM with
access to information retrieved from trusted knowledge bases or documents. Common motivations to use retrieval-augmented generation include: For example, suppose that a chemistry app uses thePaLM
APIto generate summaries
related to user queries. When the app's backend receives a query, the backend:",RAG,"['accuracy', 'language model', 'large language model', 'model', 'large language model', 'Tensor Processing Unit']",,false,"(retrieval(\s|-)?augmented(\s|-)?generat|\sRAG(\s|\.|\,)|\s(\s|\.|\,))"
chat,"The contents of a back-and-forth dialogue with an ML system, typically alarge language model.
The previous interaction in a chat
(what you typed and how the large language model responded) becomes the
context for subsequent parts of the chat. Achatbotis an application of a large language model. ",,"['action', 'language model', 'large language model', 'model', 'intersection over union']",,false,"(chat|\s(\s|\.|\,))"
optimizer,"A specific implementation of a gradient descent algorithm e.g. AdaGrad, Stochastic GD",,"['gradient', 'gradient descent']",,false,"(optimizer|\s(\s|\.|\,))"
prompt tuning,"A parameter efficient tuning mechanism that learns a ""prefix"" that the system prepends to the
actual prompt. One variation of prompt tuning—sometimes called prefix tuning—is to
prepend the prefix at every layer. In contrast, most prompt tuning only adds a prefix to the input layer. For prompt tuning, the ""prefix"" (also known as a ""soft prompt"") is a handful of learned, task-specific vectors prepended to the text token
embeddings from the actual prompt. The system learns the soft prompt by
freezing all other model parameters and fine-tuning on a specific task.",,"['input layer', 'layer', 'model', 'parameter', 'prompt', 'task', 'token', 'vector']",,false,"(prompt(\s|-)?tun|\s(\s|\.|\,))"
checkpoint,"Data that captures the state of a model'sparametersat a
particular training iteration. Checkpoints enable exporting modelweights, or performingtrainingacross
multiple sessions. Checkpoints
also enable training to continue past errors (for example, job preemption). Whenfine tuning, the starting point fortrainingthe newmodelwill be a specific
checkpoint of thepre-trained model.",,"['fine tuning', 'iteration', 'model', 'parameter', 'pre-trained model', 'state', 'training', 'weight']",,false,"(checkpoint|\s(\s|\.|\,))"
class,"A category that a label can belong to.
For example: A classification model predicts a class.
In contrast, aregression modelpredicts a number
rather than a class.",,"['classification model', 'label', 'model', 'regression model']",,false,"(class|\s(\s|\.|\,))"
device,An overloaded term with the following two possible definitions: ,,[],,false,"(device|\s(\s|\.|\,))"
regression model,"Informally, a model that generates a numerical prediction. (In contrast,
aclassification modelgenerates a class
prediction.) For example, the following are all regression models: Two common types of regression models are: Not every model that outputs numerical predictions is a regression model.
In some cases, a numeric prediction is really just a classification model
that happens to have numeric class names. For example, a model that predicts
a numeric postal code is a classification model, not a regression model.",,"['class', 'classification model', 'model', 'prediction', 'Tensor Processing Unit']",,false,"(regression(\s|-)?model|\s(\s|\.|\,))"
logits,"The vector of raw (non-normalized) predictions that a classification
model generates, which is ordinarily then passed to a normalization function.
If the model is solving amulti-class classificationproblem, logits typically become an input to thesoftmaxfunction.
The softmax function then generates a vector of (normalized)
probabilities with one value for each possible class.",,"['class', 'model', 'multi-class classification', 'normalization', 'prediction', 'softmax', 'vector']",,false,"(logits|\s(\s|\.|\,))"
majority class,"The more common label in aclass-imbalanced dataset. For example,
given a dataset containing 99% negative labels and 1% positive labels, the
negative labels are the majority class. Contrast withminority class.",,"['class', 'class-imbalanced dataset', 'imbalanced dataset', 'label', 'minority class']",,false,"(majority(\s|-)?clas|\s(\s|\.|\,))"
regularization,"Any mechanism that reduces overfitting.
Regularization can also be defined as the penalty on a model's complexity.",,"['model', 'overfitting']",,false,"(regularizat|\s(\s|\.|\,))"
regularization rate,"A number that specifies the relative importance of regularization during training. Raising the
regularization rate reduces overfitting but may
reduce the model's predictive power. Conversely, reducing or omitting
the regularization rate increases overfitting. The regularization rate is usually represented as the Greek letter lambda.",,"['lambda', 'loss', 'model', 'overfitting', 'regularization', 'training']",,false,"(regularization(\s|-)?rate|\slambda(\s|\.|\,))"
mesh,"In ML parallel programming, a term associated with assigning the data and
model to TPU chips, and defining how these values will be sharded or replicated. Mesh is an overloaded term that can mean either of the following: In either case, a mesh is specified as ashape.",,"['model', 'replica', 'shard', 'TPU chip', 'Tensor Processing Unit']",,false,"(mesh|\s(\s|\.|\,))"
causal language model,"Synonym forunidirectional language model. Seebidirectional language modelto
contrast different directional approaches in language modeling.",,"['bidirectional', 'bidirectional language model', 'language model', 'model', 'unidirectional', 'unidirectional language model']",unidirectional language model,true,"(causal(\s|-)?language(\s|-)?model|\sunidirectional language model(\s|\.|\,))"
imbalanced dataset,Synonym forclass-imbalanced dataset.,,"['class', 'class-imbalanced dataset']",class-imbalanced dataset,true,"(imbalanced(\s|-)?dataset|\sclass-imbalanced dataset(\s|\.|\,))"
dynamic model,"A model that is frequently or continuously
retrained. A dynamic model is a ""lifelong learner"" that
constantly adapts to evolving data. A dynamic model is also known as an online model. Contrast with static model. ",,"['dynamic', 'model', 'online', 'static']",,false,"(dynamic(\s|-)?model|\s(\s|\.|\,))"
online,Synonym for dynamic.,,"['dynamic']",dynamic,true,"(online|\sdynamic(\s|\.|\,))"
downsampling,Overloaded term that can mean either of the following:,,[],,false,"(downsampl|\s(\s|\.|\,))"
dynamic,"Something done frequently or continuously.
The termsdynamicandonlineare synonyms in machine learning.
The following are common uses ofdynamicandonlinein machine
learning:",,"['linear', 'machine learning', 'online']",,false,"(dynamic|\sonline(\s|\.|\,))"
modality,"A high-level data category. For example, numbers, text, images, video, and
audio are five different modalities.",,[],,false,"(modality|\s(\s|\.|\,))"
matplotlib,"An open-source Python 2D plotting library - matplotlibhelps you visualize
different aspects of machine learning.",,"['machine learning']",,false,"(matplotlib|\s(\s|\.|\,))"
return,"In reinforcement learning, given a certain policy and a certain state, the
return is the sum of all rewards that the agentexpects to receive when following thepolicyfrom thestateto the end of theepisode. The agent
accounts for the delayed nature of expected rewards by discounting rewards
according to the state transitions required to obtain the reward. Therefore, if the discount factor is \(\gamma\), and \(r_0, \ldots, r_{N}\)
denote the rewards until the end of the episode, then the return calculation
is as follows:",,"['agent', 'episode', 'policy', 'reward', 'state']",,false,"(return|\s(\s|\.|\,))"
sampling with replacement,"A method of picking items from a set of candidate items in which the same
item can be picked multiple times. The phrase ""with replacement"" means
that after each selection, the selected item is returned to the pool
of candidate items. The inverse method,sampling without replacement,
means that a candidate item can only be picked once. For example, consider the following fruit set: Suppose that the system randomly picksfigas the first item.
If using sampling with replacement, then the system picks the
second item from the following set: Yes, that's the same set as before, so the system could potentially
pickfigagain. If using sampling without replacement, once picked, a sample can't be
picked again. For example, if the system randomly picksfigas the
first sample, thenfigcan't be picked again. Therefore, the system
picks the second sample from the following (reduced) set: The wordreplacementinsampling with replacementconfuses
many people.  In English,replacementmeans ""substitution.""
However,sampling with replacementactually uses the French definition
forreplacement, which means ""putting something back."" The English wordreplacementis translated as the French
wordremplacement.",,"['items', 'return']",,false,"(sampling(\s|-)?with(\s|-)?replacement|\s(\s|\.|\,))"
selection bias,"Errors in conclusions drawn from sampled data due to a selection process
that generates systematic differences between samples observed in the data
and those not observed. The following forms of selection bias exist: For example, suppose you are creating a machine learning model that predicts
people's enjoyment of a movie. To collect training data,
you hand out a survey to everyone in the front row of a theater
showing the movie. Offhand, this may sound like a reasonable way
to gather a dataset; however, this form of data collection may
introduce the following forms of selection bias:",,"['machine learning', 'model', 'training']",,false,"(selection(\s|-)?bia|\s(\s|\.|\,))"
self-training,"A variant of self-supervised learning that is
particularly useful when all of the following conditions are true: Self-training works by iterating over the following two steps until the model
stops improving: Notice that each iteration of Step 2 adds more labeled examples for Step 1 to train on. ",,"['condition', 'iteration', 'label', 'labeled example', 'model', 'self-supervised learning', 'step', 'training']",,false,"(self(\s|-)?train|\s(\s|\.|\,))"
shape (Tensor),"The number of elements in eachdimensionof a
tensor. The shape is represented as a list of integers. For example,
the following two-dimensional tensor has a shape of [3,4]: TensorFlow uses row-major (C-style) format to represent the order of
dimensions, which is why the shape in TensorFlow is[3,4]rather than[4,3]. In other words, in a two-dimensional TensorFlow Tensor, the shape
is[number of rows,number of columns]. Astatic shapeis a tensor shape that isknownat compile time. Adynamic shapeisunknownat compile time and is
therefore dependent on runtime data. This tensor might be represented with a
placeholder dimension in TensorFlow, as in[3, ?].",,"['dimensions', 'dynamic', 'static', 'Tensor', 'TensorFlow', 'Tensor shape']",,false,"(shape(\s|-)?|\s(\s|\.|\,))"
size invariance,"In an image classification problem, an algorithm's ability to successfully
classify images even when the size of the image changes. For example,
the algorithm can still identify a
cat whether it consumes 2M pixels or 200K pixels. Note that even the best
image classification algorithms still have practical limits on size invariance.
For example, an algorithm (or human) is unlikely to correctly classify a
cat image consuming only 20 pixels. See alsotranslational invarianceandrotational invariance.",,"['class', 'rotational invariance', 'translational invariance']",,false,"(size(\s|-)?invariance|\s(\s|\.|\,))"
concept drift,"A shift in the relationship between features and the label.
Over time, concept drift reduces a model's quality. During training, the model learns the relationship between the features and
their labels in the training set. If the labels in the training set are
good proxies for the real-world, then the modelshouldmake good
real world predictions. However, due to concept drift, the model's
predictions tend to degrade over time. For example, consider abinary classificationmodel that predicts whether or not a certain car model is ""fuel efficient.""
That is, the features could be: while the label is either: However, the concept of ""fuel efficient car"" keeps
changing. A car model labeledfuel efficientin 1994 would almost certainly
be labelednot fuel efficientin 2024. A model suffering from concept drift
tends to make less and less useful predictions over time. Compare and contrast withnonstationarity. To compensate for concept drift, retrain models faster than therateof
concept drift. For example, if concept drift reduces model precision by a
meaningful margin every two months, then retrain your model more frequently
than every two months.",,"['binary classification', 'class', 'feature', 'label', 'model', 'nonstationarity', 'precision', 'prediction', 'stationarity', 'training', 'training set']",,false,"(concept(\s|-)?drift|\s(\s|\.|\,))"
confirmation bias,"The tendency to search for, interpret, favor, and recall information in a
way that confirms one's pre-existing beliefs or hypotheses.
Machine learning developers may inadvertently collect or label
data in ways that influence an outcome supporting their existing
beliefs. Confirmation bias is a form ofimplicit bias. Experimenter's biasis a form of confirmation bias in which
an experimenter continues training models until a pre-existing
hypothesis is confirmed.",,"[""experimenter's bias"", 'implicit bias', 'label', 'machine learning', 'model', 'recall', 'training']",,false,"(confirmation(\s|-)?bia|\s(\s|\.|\,))"
full softmax,Synonym forsoftmax. Contrast withcandidate sampling. ,,"['candidate sampling', 'softmax']",softmax,true,"(full(\s|-)?softmax|\ssoftmax(\s|\.|\,))"
model router,"The algorithm that determines the ideal model for inference in model cascading.
A model router is itself typically a machine learning model that gradually learns how to pick the best model for a given input.
However, a model router could sometimes be a simpler, non-machine learning algorithm. ",,"['inference', 'machine learning', 'model', 'model cascading']",,false,"(model(\s|-)?router|\s(\s|\.|\,))"
area under the PR curve,SeePR AUC (Area under the PR Curve). ,,"['PR AUC (area under the PR curve)']",,false,"(area(\s|-)?under(\s|-)?the(\s|-)?PR(\s|-)?curve|\s(\s|\.|\,))"
sketching,"A category of unsupervised learning algorithms that perform a preliminary similarity analysis on examples.  Sketching algorithms use a locality-sensitive hash function to identify points that are likely to be similar, and then group them into buckets.   Sketching decreases the computation required for similarity calculations
on large datasets. Instead of calculating similarity for every single pair of examples in the dataset, we calculate similarity only for each pair of points within each bucket.",,"['machine learning', 'supervised machine learning', 'unsupervised machine learning']",,false,"(sketch|\s(\s|\.|\,))"
node (TensorFlow graph),An operation in a TensorFlowgraph. ,,"['graph', 'Tensor', 'TensorFlow']",,false,"(node(\s|-)?|\s(\s|\.|\,))"
skip-gram,"Ann-gramwhich may omit (or ""skip"") words from the original
context, meaning the N words might not have been originally adjacent. More
precisely, a ""k-skip-n-gram"" is an n-gram for which up to k words may have
been skipped. For example, ""the quick brown fox"" has the following possible 2-grams: A ""1-skip-2-gram"" is a pair of words that have at most 1 word between them.
Therefore, ""the quick brown fox"" has the following 1-skip 2-grams: In addition, all the 2-grams arealso1-skip-2-grams, since fewer
than one word may be skipped. Skip-grams are useful for understanding more of a word's surrounding context.
In the example, ""fox"" was directly associated with ""quick"" in the set of
1-skip-2-grams, but not in the set of 2-grams. Skip-grams help trainword embeddingmodels.",,"['model', 'N-gram', 'word embedding']",,false,"(skip(\s|-)?gram|\s(\s|\.|\,))"
sigmoid function,"A mathematical function that ""squishes"" an input value into a constrained range,
typically 0 to 1 or -1 to +1. That is, you can pass any number (two, a million,
negative billion, whatever) to a sigmoid and the output will still be in the
constrained range.
A plot of the sigmoid activation function looks as follows:  The sigmoid function has several uses in machine learning, including: The sigmoid function over an input numberxhas the following formula: In machine learning,xis generally aweighted sum.",,"['activation function', 'machine learning', 'weight', 'weighted sum', 'Tensor Processing Unit']",,false,"(sigmoid(\s|-)?funct|\s(\s|\.|\,))"
soft prompt tuning,"A technique for tuning a large language model for a particular task, without resource intensive fine-tuning. Instead of retraining all theweights in the model, soft prompt tuning
automatically adjusts a prompt to achieve the same goal. Given a textual prompt, soft prompt tuning typically appends additional token embeddings to the prompt and uses backpropagation to optimize the input.",,"['backpropagation', 'language model', 'large language model', 'model', 'prompt', 'prompt tuning', 'task', 'token', 'training', 'weight']",,false,"(soft(\s|-)?prompt(\s|-)?tun|\s(\s|\.|\,))"
artificial general intelligence,"A non-human mechanism that demonstrates abroad rangeof problem solving,
creativity, and adaptability. For example, a program demonstrating artificial
general intelligence could translate text, compose symphonies,andexcel at
games that have not yet been invented.",,[],,false,"(artificial(\s|-)?general(\s|-)?intelligence|\s(\s|\.|\,))"
artificial intelligence,"A non-human program ormodelthat can solve sophisticated tasks.
For example, a program or model that translates text or a program or model that
identifies diseases from radiologic images both exhibit artificial intelligence. Formally,machine learningis a sub-field of artificial
intelligence. However, in recent years, some organizations have begun using the
termsartificial intelligenceandmachine learninginterchangeably.",,"['machine learning', 'model', 'task']",,false,"(artificial(\s|-)?intelligence|\s(\s|\.|\,))"
fairness constraint,,,[],,false,"(fairness(\s|-)?constraint|\s(\s|\.|\,))"
fairness metric,"A mathematical definition of ""fairness"" that is measurable.
Some commonly used fairness metrics include: Many fairness metrics are mutually exclusive; seeincompatibility of fairness metrics.",,"['incompatibility of fairness metrics', 'metric']",,false,"(fairness(\s|-)?metric|\s(\s|\.|\,))"
shrinkage,"A hyperparameter in gradient boosting that controls overfitting. Shrinkage in gradient boosting
is analogous tolearning rateingradient descent. Shrinkage is a decimal
value between 0.0 and 1.0. A lower shrinkage value reduces overfitting
more than a larger shrinkage value.",,"['boosting', 'gradient', 'gradient boosting', 'gradient descent', 'hyperparameter', 'learning rate', 'overfitting', 'parameter']",,false,"(shrinkage|\s(\s|\.|\,))"
shard,"A logical division of the training set or the model. Typically, some process creates shards by dividing
the examples or parameters into (usually) equal-sized chunks. Each shard is then assigned to a different machine. Sharding a model is called model parallelism;
sharding data is called data parallelism.",,"['data parallelism', 'model', 'model parallelism', 'parameter', 'training', 'training set']",,false,"(shard|\s(\s|\.|\,))"
feature spec,"Describes the information required to extractfeaturesdata
from thetf.Exampleprotocol buffer. Because the
tf.Example protocol buffer is just a container for data, you must specify
the following:",,"['feature']",,false,"(feature(\s|-)?spec|\s(\s|\.|\,))"
sparse representation,"Storing only theposition(s)of nonzero elements in a sparse feature. For example, suppose a categorical feature namedspeciesidentifies the 36
tree species in a particular forest. Further assume that eachexampleidentifies only a single species. You could use a one-hot vector to represent the tree species in each example.
A one-hot vector would contain a single1(to represent
the particular tree species in that example) and 350s (to represent the
35 tree speciesnotin that example). So, the one-hot representation
ofmaplemight look something like the following:  Alternatively, sparse representation would simply identify the position of the
particular species. Ifmapleis at position 24, then the sparse representation
ofmaplewould simply be: Notice that the sparse representation is much more compact than the one-hot
representation. Suppose each example in your model must represent the words—but not
the order of those words—in an English sentence.
English consists of about 170,000 words, so English is a categorical
feature with about 170,000 elements. Most English sentences use an
extremely tiny fraction of those 170,000 words, so the set of words in a
single example is almost certainly going to be sparse data. Consider the following sentence: You could use a variant of one-hot vector to represent the words in this
sentence. In this variant, multiple cells in the vector can contain
a nonzero value. Furthermore, in this variant, a cell can contain an integer
other than one. Although the words ""my"", ""is"", ""a"", and ""great"" appear only
once in the sentence, the word ""dog"" appears twice. Using this variant of
one-hot vectors to represent the words in this sentence yields the following
170,000-element vector:  A sparse representation of the same sentence would simply be: The term ""sparse representation"" confuses a lot of people because sparse
representation is itselfnot a sparse vector. Rather, sparse
representation is actually adense representation of a sparse vector.
The synonymindex representationis a little clearer than
""sparse representation.""",,"['action', 'feature', 'model', 'representation', 'sparse feature', 'sparse vector', 'vector']",,false,"(sparse(\s|-)?representat|\s(\s|\.|\,))"
sparsity,"The number of elements set to zero (or null) in a vector or matrix divided
by the total number of entries in that vector or matrix. For example,
consider a 100-element matrix in which 98 cells contain zero. The calculation of
sparsity is as follows: Feature sparsityrefers to the sparsity of a feature vector;model sparsityrefers to the sparsity of the model weights.",,"['feature', 'feature vector', 'model', 'vector', 'weight']",,false,"(sparsity|\s(\s|\.|\,))"
nonlinear,"A relationship between two or more variables that can't be represented solely
through addition and multiplication. Alinearrelationship
can be represented as a line; anonlinearrelationship can't be
represented as a line. For example, consider two models that each relate
a single feature to a single label. The model on the left is linear
and the model on the right is nonlinear:",,"['feature', 'label', 'linear', 'model', 'online']",,false,"(nonlinear|\s(\s|\.|\,))"
prediction bias,"A value indicating how far apart the average ofpredictionsis from the average oflabelsin the dataset. Not to be confused with thebias termin machine learning models
or withbias in ethics and fairness. ",,"['label', 'machine learning', 'model', 'prediction', 'retrieval-augmented generation']",,false,"(prediction(\s|-)?bia|\s(\s|\.|\,))"
rank (ordinality),"The ordinal position of a class in a machine learning problem that categorizes
classes from highest to lowest. For example, a behavior ranking
system could rank a dog's rewards from highest (a steak) to
lowest (wilted kale).",,"['class', 'machine learning', 'ranking', 'reward']",,false,"(rank(\s|-)?|\s(\s|\.|\,))"
ranking,"A type ofsupervised learningwhose
objective is to order a list of items. ",,"['items', 'objective']",,false,"(ranking|\s(\s|\.|\,))"
attention,"A mechanism used in aneural networkthat indicates
the importance of a particular word or part of a word. Attention compresses
the amount of information a model needs to predict the next token/word.
A typical attention mechanism might consist of aweighted sumover a set of inputs, where theweightfor each input is computed by another part of the
neural network. Refer also toself-attentionandmulti-head self-attention, which are the
building blocks ofTransformers.",,"['model', 'multi-head self-attention', 'neural network', 'token', 'Transformer', 'weight', 'weighted sum']",,false,"(attent|\s(\s|\.|\,))"
ablation,"A technique for evaluating the importance of a featureor component by temporarily removingit from a model. You then retrain the model without that feature or component, and if the retrained model
performs significantly worse, then the removed feature or component was
likely important. ",,"['class', 'classification model', 'feature', 'instance', 'model', 'performance', 'precision', 'test', 'test set']",,false,"(ablation|\s(\s|\.|\,))"
squared loss,Synonym forL2loss.,,"['L2loss', 'loss']",l2loss,true,"(squared(\s|-)?los|\sL2loss(\s|\.|\,))"
