taxonomy_term,term_regex
SIFT (Scale-Invariant Feature Transform),sift(\s*|\-)?\(scale(\s*|\-)?invariant(\s*|\-)?feature(\s*|\-)?transform\)
Regularization Techniques,regularization(\s*|\-)?technique
METEOR Score,meteor(\s*|\-)?score
Interaction Features,interaction(\s*|\-)?feature
Gradient Clipping,gradient(\s*|\-)?clipping
Lowercasing,lowercasing
Fused Lasso,fused(\s*|\-)?lasso
Merging Datasets,merging(\s*|\-)?dataset
Stratified K-Fold,stratified(\s*|\-)?k(\s*|\-)?fold
Mean/Median Imputation,mean/median(\s*|\-)?imputation
Ridge Regression,ridge(\s*|\-)?regression
Imputation,imputation
Fixed Schedule,fixed(\s*|\-)?schedule
Wide To Long Format,wide(\s*|\-)?to(\s*|\-)?long(\s*|\-)?format
Audio Preprocessing,audio(\s*|\-)?preprocessing
QLORA,qlora
Memory Management,memory(\s*|\-)?management
Chroma Features,chroma(\s*|\-)?feature
Precision And Accuracy Management,precision(\s*|\-)?and(\s*|\-)?accuracy(\s*|\-)?management
Domain-Specific Features,domain(\s*|\-)?specific(\s*|\-)?feature
8-Bit Optimizers,8(\s*|\-)?bit(\s*|\-)?optimizer
Latent Dirichlet Allocation,latent(\s*|\-)?dirichlet(\s*|\-)?allocation
Anomaly Detection,anomaly(\s*|\-)?detection
t-distributed stochastic neighbor embedding (t-SNE),t(\s*|\-)?distributed(\s*|\-)?stochastic(\s*|\-)?neighbor(\s*|\-)?embedding(\s*|\-)?\(t(\s*|\-)?sne\)
Adaboost,adaboost
Sammon Mapping,sammon(\s*|\-)?mapping
Policy Gradient Methods,policy(\s*|\-)?gradient(\s*|\-)?method
Noise Reduction,noise(\s*|\-)?reduction
Feature Normalization,feature(\s*|\-)?normalization
Classification Metrics,classification(\s*|\-)?metric
RUSBoost,rusboost
SepCNN,sepcnn
Co-Training,co(\s*|\-)?training
Frame Extraction,frame(\s*|\-)?extraction
Feature Creation,feature(\s*|\-)?creation
Categorical Cross-Entropy,categorical(\s*|\-)?cross(\s*|\-)?entropy
Style Transfer,style(\s*|\-)?transfer
Random Forest Importance,random(\s*|\-)?forest(\s*|\-)?importance
Class-Imbalanced Datasets,class(\s*|\-)?imbalanced(\s*|\-)?dataset
Pruning,pruning
Tokenisation,tokenisation
Linear Regression,linear(\s*|\-)?regression
Weight Pruning,weight(\s*|\-)?pruning
Feature Engineering,feature(\s*|\-)?engineering
Embedding Layer,embedding(\s*|\-)?layer
Stacked Generalization,stacked(\s*|\-)?generalization
Underfitting,underfitting
Transposing,transposing
